Customer_Id;CustomerName;Customer_adresse;StateID;id2;tempsInsc;SUM1;SUM2;State_Name;TotalSUM;AverageSUM
1;Griffith Paving and Sealcoatin;talend@apres91;7;41;03/11/2006 09:20;67852;61521.4852;Connecticut;129373.4852;64686.7426
2;Bill's Dive Shop;511 Maple Ave.  Apt. 1B;35;5;19/11/2004 15:48;88792;15434.1000;Ohio;104226.1;52113.05
3;Childress Child Day Care;662 Lyons Circle;1;28;16/02/2005 08:27;35340;17856.8818;Alabama;53196.8818;26598.4409
6;Kermit the Pet Shop;1860 Parkside Ln.;28;15;17/08/2003 10:07;16087;29924.9294;Nevada;46011.9294;23005.9647
7;Tub's Furniture Store;807 Old Trail Rd.;15;9;27/08/2000 03:13;53216;65352.5674;Iowa;118568.5674;59284.2837
8;Toggle & Myerson Ltd;618 Sheriden rd.;9;15;24/03/2006 23:07;74168;77920.6026;Florida;152088.60259999998;76044.30129999999
9;Childress Child Day Care;788 Tennyson Ave.;12;33;10/09/2001 06:33;92176;56844.1263;Idaho;149020.1263;74510.06315
10;Elle Hypnosis and Therapy Cent;2032 Northbrook Ct.;1;7;11/01/1977 03:07;48498;45844.9148;Alabama;94342.9148;47171.4574
11;Lennox Air Pollution Control;4522 N. Greenview Apt. 1B;48;35;20/07/1987 07:13;23992;93520.1160;;117512.116;58756.058
12;Keyth Contracting and Repair;1547 Knolwood Rd.;25;39;12/01/2000 15:33;27786;46530.0991;Missouri;74316.09909999999;37158.049549999996
13;Park District Of America;2678 Sheridan Rd.;46;41;08/06/2003 11:15;5448.;29062.8166;Virginia;34510.8166;17255.4083
14;Nirabi Auto Service;1915 Lewis Ln.  Apt 13;8;5;19/06/2002 07:15;23220;43086.6464;Delaware;66306.6464;33153.3232
15;Darcy Frame and Matting Servic;1633 McGovern place;21;28;20/10/1987 12:22;46096;31014.8296;Massachusetts;77110.8296;38555.4148
16;Glenwood Credit Union;511 Maple Ave.  Apt. 1B;46;15;17/07/2000 17:27;90440;31684.7929;Virginia;122124.7929;61062.39645
17;Gourmet the Frog;788 Tennyson Ave.;1;9;07/09/2002 03:55;67680;62038.7700;Alabama;129718.76999999999;64859.384999999995
18;Acturial Enterprises Ltd.;3385 University Ave.;34;12;07/04/2001 10:42;45292;17008.7659;North Dakota;62300.7659;31150.38295
19;Salt & Pepper Catering Service;965 Marion Place Apt. 65C;44;33;20/12/2006 10:02;13458;52120.6184;Utah;65578.6184;32789.3092
